Title,Agency,EmploymentType,PayBand,HiringRange,RecruitmentType,Status,ClosingDate,LocationGeneral,LocationDetail,Link,DateFirstRetrieved
PH Nurse Supervisor - NFP,Department of Health,Full-Time (Salaried),NA,"$75,000 - $79,600",General Public - G,Closed,2023-03-09T23:55:00Z,Suffolk,WESTERN TIDEWATER HQ,https://www.jobs.virginia.gov/jobs/ph-nurse-supervisor-nfp-suffolk-virginia-united-states,2023-02-23
Office Services Supervisor Senior,Department of Health,Full-Time (Salaried),NA,"$46,153.00 - $52,374.00",General Public - G,Closed,2023-03-09T23:55:00Z,Suffolk,WESTERN TIDEWATER -TW,https://www.jobs.virginia.gov/jobs/office-services-supervisor-senior-suffolk-virginia-united-states,2023-02-23
"Community Liaison Officer, Programs Section (OAG00448)",Attorney General & Department of Law,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Fairfax,NORTHERN VIRGINIA,https://www.jobs.virginia.gov/jobs/community-liaison-officer-programs-section-oag00448-fairfax-virginia-united-states,2023-02-23
Sr. Financial Compliance Analyst - #W4386,Department of Social Services,Full-Time (Salaried),5,"$50,811-$80,000",General Public - G,Open,NA,Richmond,DSS HOME OFFICE,https://www.jobs.virginia.gov/jobs/sr-financial-compliance-analyst-w4386-richmond-virginia-united-states,2023-02-23
Human Resource Director - CF809,Department of Forensic Science,Full-Time (Salaried),6,"$105,000 - $118,000",State Employee Only - E,Closed,2023-03-08T23:55:00Z,Richmond,Dept of Forensic Science,https://www.jobs.virginia.gov/jobs/human-resource-director-cf809-richmond-virginia-united-states,2023-02-23
Program Support Technician ( Health Services),Department of Corr - Central Admin,Full-Time (Salaried),NA,"$33,000 - $46,444",General Public - G,Open,NA,Buckingham,Buckingham Correctional Center,https://www.jobs.virginia.gov/jobs/program-support-technician-health-services-buckingham-virginia-united-states,2023-02-23
Public Health Nurse,Department of Health,Full-Time (Salaried),4,"$57,000 - $65,000",General Public - G,Closed,2023-03-09T23:55:00Z,Henrico,HENRICO HQ,https://www.jobs.virginia.gov/jobs/public-health-nurse-henrico-virginia-united-states,2023-02-23
Accounts Receivable Fiscal Accountant - #ARS00087,Department for Aging & Rehab Svcs,Full-Time (Salaried),4,Commensurate with experience,General Public - G,Closing soon,2023-03-10T23:55:00Z,Henrico,Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/accounts-receivable-fiscal-accountant-ars00087-henrico-virginia-united-states,2023-02-23
Real Pay for Real Jobs EPIC Project Vocational Rehabilitation Counselor (Southwest District) - #ARS00648,Department for Aging & Rehab Svcs,Full-Time (Salaried),5,Commensurate with experience,General Public - G,Open,NA,Wythe,Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/real-pay-for-real-jobs-epic-project-vocational-rehabilitation-counselor-southwest-district-ars00648-wythe-virginia-united-states,2023-02-23
IT Security Governance Analyst,VA Information Tech Agency,Full-Time (Salaried),NA,"Negotiable to $105,000",General Public - G,Open,NA,Richmond,VA Information Technologies,https://www.jobs.virginia.gov/jobs/it-security-governance-analyst-richmond-virginia-united-states,2023-02-23
"Manager, Supplier Relationship Management - P0121",Department of General Services,Full-Time (Salaried),5,"$74,000 to $84,000",General Public - G,Open,NA,Richmond,Patrick Henry Building,https://www.jobs.virginia.gov/jobs/manager-supplier-relationship-management-p0121-richmond-virginia-united-states,2023-02-23
Bridge Operator – Amherst Bridge Crew,VA Department of Transportation,Full-Time (Salaried),NA,"$36,400 - $59,150",General Public - G,Closing soon,2023-03-10T23:55:00Z,Amherst,Amherst Sub-area,https://www.jobs.virginia.gov/jobs/bridge-operator-amherst-bridge-crew-amherst-virginia-united-states,2023-02-23
Claims Services Technical Liaison,VA Workers' Compensation Comm,Full-Time (Salaried),NA,"Minimum starting salary $52,356, commensurate with experience",Agency Employee Only - A,Closed,2023-03-01T23:55:00Z,Richmond,RICHMOND HEADQUARTERS,https://www.jobs.virginia.gov/jobs/claims-services-technical-liaison-richmond-virginia-united-states,2023-02-23
Maintenance Supervisor,VA Department of Transportation,Full-Time (Salaried),NA,"$41,886 - $68,065",Agency Employee Only - A,Closed,2023-03-05T23:55:00Z,Covington,Covington AHQ,https://www.jobs.virginia.gov/jobs/maintenance-supervisor-covington-virginia-united-states,2023-02-23
Human Services Manager - #ARS00011,Department for Aging & Rehab Svcs,Full-Time (Salaried),5,"Negotiable up to $81,585.00",General Public - G,Closed,2023-03-08T23:55:00Z,Winchester,Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/human-services-manager-ars00011-winchester-virginia-united-states,2023-02-23
Chief of Benefits,Virginia Employment Commission,Full-Time (Salaried),NA,"$75,000 - $90,000 annually",Agency Employee Only - A,Closed,2023-02-26T23:55:00Z,"Outside of State
  Washington
  Prince Georges, MD
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte Court House, Virginia
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke, Virginia
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Fredericksburg
  Galax
  Giles, Virginia
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  North Chesterfield
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise, Virginia
  Wythe
  York

            Outside of State
  Washington
  Prince Georges, MD",VEC CENTRAL OFFICE,https://www.jobs.virginia.gov/jobs/chief-of-benefits-bristol-virginia-united-states-accomac-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath-bedford-bedford-county-bland-botetourt-c,2023-02-23
Marine Police Officer,Marine Resources Commission,Full-Time (Salaried),NA,"$41,814 -$44,000",General Public - G,Open,2023-04-02T23:55:00Z,"Galax
  Giles, Virginia
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lexington

            Galax
  Giles, Virginia
  Gloucester",main location,https://www.jobs.virginia.gov/jobs/marine-police-officer-galax-virginia-united-states-giles-virginia-gloucester-goochland-gordonsville-grayson-greene-greensville-halifax-hampton-hanover-harrisonburg-henrico-henry-highland-hope,2023-02-23
Operator Maintenance,VA Department of Transportation,Full-Time (Salaried),NA,"$35,489 - $57,669",General Public - G,Closed,2023-03-08T23:55:00Z,New Kent,New Kent AHQ,https://www.jobs.virginia.gov/jobs/operator-maintenance-new-kent-virginia-united-states,2023-02-23
Employment Services Specialist Senior - #ARS00898,Department for Aging & Rehab Svcs,Full-Time (Salaried),3,"Minimum starting salary at $35,750 commensurate with experience",General Public - G,Open,NA,Accomac,Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/employment-services-specialist-senior-ars00898-accomac-virginia-united-states,2023-02-23
Web Developer - #ARS00822,Department for Aging & Rehab Svcs,Full-Time (Salaried),NA,"$38,894 - $75,000",General Public - G,Open,NA,Henrico,Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/web-developer-ars00822-henrico-virginia-united-states,2023-02-23
Application Developer/Analyst - #ARS00225,Department for Aging & Rehab Svcs,Full-Time (Salaried),6,"$66,380 - $110,000.00",General Public - G,Open,NA,Henrico,Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/application-developer-analyst-ars00225-henrico-virginia-united-states,2023-02-23
Application Developer / Analyst - #ARS00229,Department for Aging & Rehab Svcs,Full-Time (Salaried),6,"$66,380 - $110,000",General Public - G,Open,NA,Henrico,Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/application-developer-analyst-ars00229-henrico-virginia-united-states,2023-02-23
Financial Analyst,Department of Motor Vehicles,Full-Time (Salaried),5,"Commensurate with experience, up to $65,000",State Employee Only - E,Closed,2023-03-08T23:55:00Z,Richmond,BUDGET,https://www.jobs.virginia.gov/jobs/financial-analyst-richmond-virginia-united-states-b24d058c-13cb-4ab1-838d-b78082acd1cc,2023-02-23
Senior Buyer,Department of Prof & Occup Reg,Full-Time (Salaried),NA,"$50,000 - $62,000",General Public - G,Closed,2023-03-05T23:55:00Z,Henrico,DPOR Main Office,https://www.jobs.virginia.gov/jobs/senior-buyer-henrico-virginia-united-states,2023-02-23
Mental Health Clinician II SORT: Greensville,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$66,150 - $108,045",General Public - G,Open,NA,Greensville,Greensville Correctional Ctr,https://www.jobs.virginia.gov/jobs/mental-health-clinician-ii-sort-greensville-greensville-virginia-united-states,2023-02-23
Mental Health Clinician I SORT: Greensville,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$55,125.00 - $77, 175.00",General Public - G,Open,NA,Greensville,Greensville Correctional Ctr,https://www.jobs.virginia.gov/jobs/mental-health-clinician-i-sort-greensville-greensville-virginia-united-states,2023-02-23
Deputy clerk - Pre-Court - Portsmouth,Supreme Court,Full-Time (Salaried),NA,"negotiable to $35,923",General Public - G,Closed,2023-02-28T12:00:00Z,Portsmouth,3rd Dist. CSU Portsmouth,https://www.jobs.virginia.gov/jobs/deputy-clerk-pre-court-portsmouth-portsmouth-virginia-united-states,2023-02-23
