Title,Agency,EmploymentType,PayBand,HiringRange,RecruitmentType,Status,ClosingDate,LocationGeneral,LocationDetail,Link,DateFirstRetrieved
PH Nurse Supervisor - NFP,Department of Health,Full-Time (Salaried),NA,"$75,000 - $79,600",General Public - G,Closing soon,2023-03-09T23:55:00Z,Suffolk,WESTERN TIDEWATER HQ,https://www.jobs.virginia.gov/jobs/ph-nurse-supervisor-nfp-suffolk-virginia-united-states,2023-02-23
Office Services Supervisor Senior,Department of Health,Full-Time (Salaried),NA,"$46,153.00 - $52,374.00",General Public - G,Closing soon,2023-03-09T23:55:00Z,Suffolk,WESTERN TIDEWATER -TW,https://www.jobs.virginia.gov/jobs/office-services-supervisor-senior-suffolk-virginia-united-states,2023-02-23
"Community Liaison Officer, Programs Section (OAG00448)",Attorney General & Department of Law,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Fairfax,NORTHERN VIRGINIA,https://www.jobs.virginia.gov/jobs/community-liaison-officer-programs-section-oag00448-fairfax-virginia-united-states,2023-02-23
Sr. Financial Compliance Analyst - #W4386,Department of Social Services,Full-Time (Salaried),5,"$50,811-$80,000",General Public - G,Open,NA,Richmond,DSS HOME OFFICE,https://www.jobs.virginia.gov/jobs/sr-financial-compliance-analyst-w4386-richmond-virginia-united-states,2023-02-23
Human Resource Director - CF809,Department of Forensic Science,Full-Time (Salaried),6,"$105,000 - $118,000",State Employee Only - E,Closing soon,2023-03-08T23:55:00Z,Richmond,Dept of Forensic Science,https://www.jobs.virginia.gov/jobs/human-resource-director-cf809-richmond-virginia-united-states,2023-02-23
Program Support Technician ( Health Services),Department of Corr - Central Admin,Full-Time (Salaried),NA,"$33,000 - $46,444",General Public - G,Open,NA,Buckingham,Buckingham Correctional Center,https://www.jobs.virginia.gov/jobs/program-support-technician-health-services-buckingham-virginia-united-states,2023-02-23
Public Health Nurse,Department of Health,Full-Time (Salaried),4,"$57,000 - $65,000",General Public - G,Closing soon,2023-03-09T23:55:00Z,Henrico,HENRICO HQ,https://www.jobs.virginia.gov/jobs/public-health-nurse-henrico-virginia-united-states,2023-02-23
Accounts Receivable Fiscal Accountant - #ARS00087,Department for Aging & Rehab Svcs,Full-Time (Salaried),4,Commensurate with experience,General Public - G,Open,2023-03-10T23:55:00Z,Henrico,Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/accounts-receivable-fiscal-accountant-ars00087-henrico-virginia-united-states,2023-02-23
Real Pay for Real Jobs EPIC Project Vocational Rehabilitation Counselor (Southwest District) - #ARS00648,Department for Aging & Rehab Svcs,Full-Time (Salaried),5,Commensurate with experience,General Public - G,Open,NA,Wythe,Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/real-pay-for-real-jobs-epic-project-vocational-rehabilitation-counselor-southwest-district-ars00648-wythe-virginia-united-states,2023-02-23
IT Security Governance Analyst,VA Information Tech Agency,Full-Time (Salaried),NA,"Negotiable to $105,000",General Public - G,Open,NA,Richmond,VA Information Technologies,https://www.jobs.virginia.gov/jobs/it-security-governance-analyst-richmond-virginia-united-states,2023-02-23
"Manager, Supplier Relationship Management - P0121",Department of General Services,Full-Time (Salaried),5,"$74,000 to $84,000",General Public - G,Open,NA,Richmond,Patrick Henry Building,https://www.jobs.virginia.gov/jobs/manager-supplier-relationship-management-p0121-richmond-virginia-united-states,2023-02-23
Bridge Operator – Amherst Bridge Crew,VA Department of Transportation,Full-Time (Salaried),NA,"$36,400 - $59,150",General Public - G,Open,2023-03-10T23:55:00Z,Amherst,Amherst Sub-area,https://www.jobs.virginia.gov/jobs/bridge-operator-amherst-bridge-crew-amherst-virginia-united-states,2023-02-23
Human Services Manager - #ARS00011,Department for Aging & Rehab Svcs,Full-Time (Salaried),5,"Negotiable up to $81,585.00",General Public - G,Closing soon,2023-03-08T23:55:00Z,Winchester,Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/human-services-manager-ars00011-winchester-virginia-united-states,2023-02-23
Marine Police Officer,Marine Resources Commission,Full-Time (Salaried),NA,"$41,814 -$44,000",General Public - G,Open,2023-04-02T23:55:00Z,"Galax
  Giles, Virginia
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lexington

            Galax
  Giles, Virginia
  Gloucester",main location,https://www.jobs.virginia.gov/jobs/marine-police-officer-galax-virginia-united-states-giles-virginia-gloucester-goochland-gordonsville-grayson-greene-greensville-halifax-hampton-hanover-harrisonburg-henrico-henry-highland-hope,2023-02-23
Operator Maintenance,VA Department of Transportation,Full-Time (Salaried),NA,"$35,489 - $57,669",General Public - G,Closing soon,2023-03-08T23:55:00Z,New Kent,New Kent AHQ,https://www.jobs.virginia.gov/jobs/operator-maintenance-new-kent-virginia-united-states,2023-02-23
Employment Services Specialist Senior - #ARS00898,Department for Aging & Rehab Svcs,Full-Time (Salaried),3,"Minimum starting salary at $35,750 commensurate with experience",General Public - G,Open,NA,Accomac,Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/employment-services-specialist-senior-ars00898-accomac-virginia-united-states,2023-02-23
