Link,requisition_id,pay_band,hiring_range,recruitment_type,location
https://www.jobs.virginia.gov/jobs/real-estate-legal-specialist-dr008-richmond-virginia-united-states,498522,NA,"$90,000 - $100,000",General Public - G,Washington Building
https://www.jobs.virginia.gov/jobs/lead-senior-contract-officer-0p015-richmond-virginia-united-states,498516,NA,"$75,000 - $81,000",General Public - G,Washington Building
https://www.jobs.virginia.gov/jobs/deputy-clerk-emporia-greensville-emporia-virginia-united-states,498525,NA,"negotiable to $35,923",General Public - G,6th Dist. CSU Emporia
https://www.jobs.virginia.gov/jobs/deputy-clerk-arlington-arlington-virginia-united-states,498518,NA,"Negotiable up to $43,259 + 15% County stipend",General Public - G,Arlington J&DR Court
https://www.jobs.virginia.gov/jobs/supervising-deputy-clerk-arlington-arlington-virginia-united-states,498506,NA,"Negotiable up to $47,437 + 15% County stipend",General Public - G,Arlington J&DR Court
https://www.jobs.virginia.gov/jobs/identity-and-access-management-iam-lead-richmond-virginia-united-states,498510,NA,"$100,000 - $130,000",State Employee Only - E,VA Information Technologies
https://www.jobs.virginia.gov/jobs/wildlife-nongame-program-manager-henrico-virginia-united-states,498509,5,"starting at $55,000 (salary will be commensurate with experience)",General Public - G,Dept of Wildlife Resources
https://www.jobs.virginia.gov/jobs/infrastructure-integrations-manager-richmond-virginia-united-states,498493,NA,"$120,000 - $150,000",General Public - G,VA Information Technologies
https://www.jobs.virginia.gov/jobs/public-health-nurse-supervisor-richmond-virginia-united-states,498185,NA,"$73,000-$81,500",General Public - G,RICHMOND-HQ
https://www.jobs.virginia.gov/jobs/maintenance-supervisor-hampton-virginia-united-states-newport-news,498488,NA,"$45,039- $62,000",General Public - G,Hampton Roads Bridge Tunnel
https://www.jobs.virginia.gov/jobs/probation-officer-p-p-district-18-norton-p1819-norton-virginia-united-states,498324,NA,"$42,500 - $47,000",General Public - G,Norton P&P
https://www.jobs.virginia.gov/jobs/policy-analyst-01049-richmond-virginia-united-states,498486,5,"Up to $78,000 annually. Excellent State Benefits",General Public - G,VDACS CENTRAL HEADQUARTERS
