Link,RequisitionID,PayBand,HiringRange,RecruitmentType,Location
https://www.jobs.virginia.gov/jobs/highway-maintenance-crew-member-madison-virginia-united-states,499545,NA,"$40,000 - $53,633",General Public - G,Madison AHQ
https://www.jobs.virginia.gov/jobs/environmental-health-tech-specialist-james-city-virginia-united-states-newport-news-poquoson-williamsburg-york,499223,NA,"$48,985.00 - $65,418.00",Agency Employee Only - A,PENINSULA HQ
https://www.jobs.virginia.gov/jobs/contact-center-representative-hybrid-retirement-plan-counseling-representative-remote-richmond-virginia-united-states,499544,NA,"$54,361 - $59,797",General Public - G,Virginia Retirement System
https://www.jobs.virginia.gov/jobs/contact-center-representative-employer-support-remote-richmond-virginia-united-states,499286,NA,"$48,107 - $51,107",General Public - G,Virginia Retirement System
https://www.jobs.virginia.gov/jobs/living-history-interpreter-james-city-virginia-united-states-williamsburg-york,499536,NA,"32,500",General Public - G,Jamestown-Yorktown Foundation
https://www.jobs.virginia.gov/jobs/beneficiary-payments-analyst-richmond-virginia-united-states,499539,NA,"$43,733 - $55,000",General Public - G,Virginia Retirement System
https://www.jobs.virginia.gov/jobs/systems-development-manager-position-no-00022-richmond-virginia-united-states,499541,NA,"$90,000 - commensurate with experience",General Public - G,WORKFORCE EFFICIENCY TEAM
https://www.jobs.virginia.gov/jobs/engineer-land-use-louisa-virginia-united-states,499538,NA,"$67,646 - 109,925",General Public - G,Louisa Residency
https://www.jobs.virginia.gov/jobs/support-enforcement-specialist-w0484-multiple-positions-norfolk-virginia-united-states,499530,NA,"$38,894 - $48,871, salary commensurate with experience",General Public - G,DCSE EASTERN VIRGINIA
https://www.jobs.virginia.gov/jobs/procurement-specialist-senior-cf092-richmond-virginia-united-states,499531,5,"$50,811- $76,000",State Employee Only - E,Dept of Forensic Science
https://www.jobs.virginia.gov/jobs/ferry-captain-jr-surry-virginia-united-states,499499,NA,"$55,021 - $75,000",Agency Employee Only - A,Jamestown Scotland Ferry
https://www.jobs.virginia.gov/jobs/procurement-officer-iii-richmond-virginia-united-states,499518,NA,"$67,963 - $110,440",General Public - G,Hospital Building
https://www.jobs.virginia.gov/jobs/environmental-engineer-accomac-virginia-united-states-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath-bedford-bedford-county-bland-botetourt-coun,499529,NA,"$50,811 - $70,000",General Public - G,main location
https://www.jobs.virginia.gov/jobs/payroll-supervisor-00290-richmond-virginia-united-states,499512,NA,"$54,023 - $75,000",General Public - G,DOC Headquarters
https://www.jobs.virginia.gov/jobs/cognitive-counselor-substance-use-disorder-wallens-ridge-state-prison-01338-wise-virginia-united-states,499515,NA,"$42,000 - $64,909",General Public - G,Wallens Ridge State Prison
https://www.jobs.virginia.gov/jobs/it-auditor-senior-00575-richmond-virginia-united-states,499519,NA,"$69,458 - $113,910",General Public - G,DOC Headquarters
https://www.jobs.virginia.gov/jobs/clerk-of-court-danville-danville-virginia-united-states,498876,NA,"negotiable to $58,271",General Public - G,CSU 22 - Danville
https://www.jobs.virginia.gov/jobs/probation-officer-virginia-beach-virginia-united-states-b2f9d72e-6092-4d72-8f71-fc2e13afc73d,499459,NA,"starting $53,183 (commensurate with experience)",General Public - G,2nd Dist. CSU Va Beach
https://www.jobs.virginia.gov/jobs/vocational-rehabilitation-counselor-ars00003-alexandria-virginia-united-states,499514,4,"Minimum starting salary at $60,638 commensurate with experience",General Public - G,Aging & Rehab Svcs (NOVA)
https://www.jobs.virginia.gov/jobs/corrections-officer-central-virginia-correctional-unit-13-13030-chesterfield-virginia-united-states,499504,NA,"$42,000",General Public - G,Central VA Corr Unit 13
https://www.jobs.virginia.gov/jobs/office-services-specialist-p-p-district-23-virginia-beach-p2395-virginia-beach-virginia-united-states,499501,NA,"$31,200 - $41,576",General Public - G,Virginia Beach P&P
https://www.jobs.virginia.gov/jobs/purchase-of-prior-service-analyst-richmond-virginia-united-states,499491,NA,"$57,000-$62,000",General Public - G,Virginia Retirement System
https://www.jobs.virginia.gov/jobs/co-p1084-surface-water-withdrawal-team-lead-vwp-richmond-virginia-united-states,499479,5,"$50,811 – $95,000",General Public - G,Dept of Environmental Quality
https://www.jobs.virginia.gov/jobs/production-foreman-coffeewood-correctional-center-00222-culpepper-virginia-united-states,499425,NA,"$36,934 - $55,401",General Public - G,Coffeewood Correctional Center
https://www.jobs.virginia.gov/jobs/production-foreman-virginia-correctional-center-for-women-00103-goochland-virginia-united-states,499421,NA,"$36,934 - $55,401",General Public - G,Virginia Corr Ctr For Women
https://www.jobs.virginia.gov/jobs/program-support-technician-health-services-00703-nottoway-correctional-center-nottoway-virginia-united-states,499381,NA,"$33,000 - $46,444",General Public - G,Nottoway Correctional Center
https://www.jobs.virginia.gov/jobs/casework-counselor-multiple-positions-greensville-correctional-center-00965-greensville-virginia-united-states,499472,NA,"$42,000 - $60,675",General Public - G,Greensville Correctional Ctr
https://www.jobs.virginia.gov/jobs/office-services-supervisor-sr-virginia-beach-virginia-united-states-eefb76d4-2725-4c2a-8e15-4bec17a3d47f,499468,NA,"Commensurate up to $45,486",General Public - G,2nd Dist. CSU VA Beach
https://www.jobs.virginia.gov/jobs/corrections-captain-greensville-correctional-center-00515-greensville-virginia-united-states,499471,NA,"$56,564 - $96,315",Agency Employee Only - A,Greensville Correctional Ctr
https://www.jobs.virginia.gov/jobs/highway-maintenance-equipment-operator-floyd-virginia-united-states-giles-virginia-montgomery-county-pulaski,498901,NA,"$30,983- $50,000 Based on Experience",General Public - G,Christiansburg Residency
https://www.jobs.virginia.gov/jobs/customer-relations-analyst-sr-accomac-virginia-united-states-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath-bedford-bedford-county-bland-botetou,498643,NA,"$45,000 - $55,000 annually",Agency Employee Only - A,VEC CENTRAL OFFICE
https://www.jobs.virginia.gov/jobs/plant-protection-inspector-abingdon-00431-bristol-virginia-united-states-buchanan-dickenson-lee-norton-russell-scott-smyth-tazewell-washington-wise-virginia,498707,4,"Up to $58,000 annually. Excellent State Benefits",General Public - G,SOUTHWEST
https://www.jobs.virginia.gov/jobs/program-support-technician-health-services-00422-wallens-ridge-state-prison-wise-virginia-virginia-united-states,499139,NA,"$33,000 - $46,444",General Public - G,Wallens Ridge State Prison
https://www.jobs.virginia.gov/jobs/institutional-operations-manager-red-onion-state-prison-00007-wise-virginia-virginia-united-states,499322,NA,"$50,811 - $83,329",General Public - G,Red Onion State Prison
https://www.jobs.virginia.gov/jobs/corrections-lieutenant-red-onion-state-prison-00633-wise-virginia-virginia-united-states,499320,NA,"$53,577 - $89,223",Agency Employee Only - A,Red Onion State Prison
https://www.jobs.virginia.gov/jobs/corrections-officer-patrol-canine-red-onion-state-prison-00389-wise-virginia-virginia-united-states,499331,NA,"$43,915 - $71,370",General Public - G,Red Onion State Prison
https://www.jobs.virginia.gov/jobs/registered-nurse-red-onion-state-prison-wise-virginia-virginia-united-states,493553,NA,"$68,000 - $91,007",General Public - G,Red Onion State Prison
https://www.jobs.virginia.gov/jobs/deputy-clerk-clarke-clarke-virginia-virginia-united-states,498903,NA,"negotiable to $35,923",General Public - G,CSU 26 - Clarke County
https://www.jobs.virginia.gov/jobs/highway-maintenance-equipment-operator-franklin-county-franklin-county-virginia-united-states,499268,NA,"$30,983- $50,000 Based on Experience",General Public - G,Franklin County
https://www.jobs.virginia.gov/jobs/farm-supervisor-deerfield-correctional-center-01633-southampton-virginia-united-states,499369,NA,"$36,383 - $56,757",General Public - G,Deerfield Correctional Center
https://www.jobs.virginia.gov/jobs/corrections-captain-ito-sr-greensville-correctional-center-00008-greensville-virginia-united-states,499447,NA,"$56,564 - $96,315",Agency Employee Only - A,Greensville Correctional Ctr
https://www.jobs.virginia.gov/jobs/nutritionist-associate-richmond-virginia-united-states,499199,NA,"$34,000-$41,000",General Public - G,RICHMOND-HQ
https://www.jobs.virginia.gov/jobs/executive-secretary-greensville-correctional-center-00501-greensville-virginia-united-states,499444,NA,"$33,000 - $46,444",General Public - G,Greensville Correctional Ctr
https://www.jobs.virginia.gov/jobs/office-services-assistant-p-p-district-27-chesterfield-p2708-chesterfield-virginia-united-states,499415,NA,"$30,000 - $38,865",General Public - G,Chesterfield P&P
https://www.jobs.virginia.gov/jobs/office-services-supervisor-mailroom-greenville-correctional-center-01112-greensville-virginia-united-states,499442,NA,"$33,000 - $46,444",General Public - G,Greensville Correctional Ctr
https://www.jobs.virginia.gov/jobs/senior-trial-attorney-norfolk-norfolk-virginia-united-states,499228,NA,"$78,465.00 + State Benefits",General Public - G,NORFOLK 321
https://www.jobs.virginia.gov/jobs/computer-support-specialist-richmond-virginia-united-states,498996,NA,"$50,811-$75,000",General Public - G,JAMES MONROE BUILDING
https://www.jobs.virginia.gov/jobs/it-portfolio-manager-richmond-virginia-united-states,499408,NA,"$100,615 - $150,000",General Public - G,Annex Building
https://www.jobs.virginia.gov/jobs/deer-biologist-albemarle-county-virginia-united-states,499401,5,"starting at $53,000",General Public - G,Lake Albermarle
https://www.jobs.virginia.gov/jobs/food-operations-director-fluvanna-correctional-center-00100-fluvanna-virginia-united-states-979c03bf-dc14-4fae-85bc-26b3f26c3542,499389,NA,"$50,811 - $83,329",General Public - G,Fluvanna Correctional Center
https://www.jobs.virginia.gov/jobs/farm-supervisor-senior-state-farm-correctional-center-01578-goochland-virginia-united-states,499355,NA,"$43,659 - $68,108",General Public - G,State Farm Work Center
