Title,EmploymentType,Location,Closingdate,Agency,Link,ClosingDate2
Real Estate Legal Specialist - DR008,Full-Time (Salaried),Richmond,,Department of General Services,https://www.jobs.virginia.gov/jobs/real-estate-legal-specialist-dr008-richmond-virginia-united-states,NA
Lead Senior Contract Officer - 0P015,Full-Time (Salaried),Richmond,,Department of General Services,https://www.jobs.virginia.gov/jobs/lead-senior-contract-officer-0p015-richmond-virginia-united-states,NA
Deputy Clerk - Emporia/Greensville,Full-Time (Salaried),Emporia,Mar 10 2023 at 23:55 EST,Supreme Court,https://www.jobs.virginia.gov/jobs/deputy-clerk-emporia-greensville-emporia-virginia-united-states,2023-03-10T23:55:00Z
Deputy Clerk - Arlington,Full-Time (Salaried),Arlington,Mar 6 2023 at 23:55 EST,Supreme Court,https://www.jobs.virginia.gov/jobs/deputy-clerk-arlington-arlington-virginia-united-states,2023-03-06T23:55:00Z
Software Quality Assurance Engineer,Full-Time (Salaried),Chesterfield,Feb 25 2023 at 23:55 EST,Virginia College Savings Plan,https://www.jobs.virginia.gov/jobs/software-quality-assurance-engineer-north-chesterfield-virginia-united-states,2023-02-25T23:55:00Z
Supervising Deputy Clerk - Arlington,Full-Time (Salaried),Arlington,Mar 6 2023 at 23:55 EST,Supreme Court,https://www.jobs.virginia.gov/jobs/supervising-deputy-clerk-arlington-arlington-virginia-united-states,2023-03-06T23:55:00Z
Identity and Access Management (IAM) Lead,Full-Time (Salaried),Richmond,Mar 31 2023 at 23:55 EDT,VA Information Tech Agency,https://www.jobs.virginia.gov/jobs/identity-and-access-management-iam-lead-richmond-virginia-united-states,2023-03-31T23:55:00Z
Wildlife Nongame Program Manager,Full-Time (Salaried),Henrico,Mar 10 2023 at 23:55 EST,Dept of Wildlife Resources,https://www.jobs.virginia.gov/jobs/wildlife-nongame-program-manager-henrico-virginia-united-states,2023-03-10T23:55:00Z
CO - P4094 &amp; P4120 - Water Withdrawal Compliance Coordinator,Full-Time (Salaried),Richmond,Mar 3 2023 at 23:55 EST,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/co-p4094-amp-p4120-water-withdrawal-compliance-coordinator-bristol-virginia-united-states-accomac-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath,2023-03-03T23:55:00Z
Infrastructure Integrations Manager,Full-Time (Salaried),Richmond,Mar 3 2023 at 23:55 EST,VA Information Tech Agency,https://www.jobs.virginia.gov/jobs/infrastructure-integrations-manager-richmond-virginia-united-states,2023-03-03T23:55:00Z
Public Health Nurse Supervisor,Full-Time (Salaried),Richmond,Mar 7 2023 at 23:55 EST,Department of Health,https://www.jobs.virginia.gov/jobs/public-health-nurse-supervisor-richmond-virginia-united-states,2023-03-07T23:55:00Z
