Title,EmploymentType,Location,ClosingDate,Agency,Link,DateFirstRetrieved
Mitigation Specialist,Full-Time (Salaried),Lynchburg,2023-03-20T23:55:00Z,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/mitigation-specialist-lynchburg-virginia-united-states,2023-03-10
Public Health Nurse,Full-Time (Salaried),Richmond,2023-04-02T23:55:00Z,Department of Health,https://www.jobs.virginia.gov/jobs/public-health-nurse-richmond-virginia-united-states-2ad78849-1d25-43ec-ac2a-9d6d515bb07f,2023-03-10
Carpentry Technician,Full-Time (Salaried),"James City
  Williamsburg
  York",2023-03-21T23:55:00Z,Jamestown-Yorktown Foundation,https://www.jobs.virginia.gov/jobs/carpentry-technician-james-city-virginia-united-states-williamsburg-york,2023-03-10
Living History Interpreter,Full-Time (Salaried),"James City
  Williamsburg
  York",2023-03-26T23:55:00Z,Jamestown-Yorktown Foundation,https://www.jobs.virginia.gov/jobs/living-history-interpreter-james-city-virginia-united-states-williamsburg-york,2023-03-10
Spanish Language Court Interpreter - Arlington,Full-Time (Salaried),Arlington,NA,Supreme Court,https://www.jobs.virginia.gov/jobs/spanish-language-court-interpreter-arlington-arlington-virginia-united-states,2023-03-10
Financial Analyst,Full-Time (Salaried),Richmond,2023-03-17T23:55:00Z,Dept of Criminal Justice Svcs,https://www.jobs.virginia.gov/jobs/financial-analyst-richmond-virginia-united-states,2023-03-10
Casework Counselor: Fluvanna Correctional Center For Women #00020,Full-Time (Salaried),Fluvanna,2023-03-24T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/casework-counselor-fluvanna-correctional-center-for-women-00020-fluvanna-virginia-united-states,2023-03-10
Human Resources Business Partner,Full-Time (Salaried),North Chesterfield,2023-03-24T23:55:00Z,Department of State Police,https://www.jobs.virginia.gov/jobs/human-resources-business-partner-north-chesterfield-virginia-united-states,2023-03-10
HR Benefits Specialist,Full-Time (Salaried),Colonial Heights,2023-03-20T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/hr-benefits-specialist-colonial-heights-virginia-united-states-2405914b-c994-4b34-9bb9-2738f318ee7c,2023-03-10
Program Support Technician,Full-Time (Salaried),North Chesterfield,2023-03-24T23:55:00Z,Department of State Police,https://www.jobs.virginia.gov/jobs/program-support-technician-north-chesterfield-virginia-united-states,2023-03-10
